계정코드,기표여부,사용여부,계정과목,제조,판관
6428174,1,0,6428174 -Chi phí vật tư tiêu hao - Thông thường,0,1
6428180,0,0,"6428180 -Chi phí quảng cáo, khuyến mãi",0,1
6428181,1,0,"6428181 -Chi phí quảng cáo, khuyến mãi - IR",0,1
6428182,1,0,"6428182 -Chi phí quảng cáo, khuyến mãi - Thông thường",0,1
6428210,0,0,6428210 -Chi phí mẫu hàng,0,1
6428211,1,0,6428211 -Chi phí mẫu hàng,0,1
6428220,0,0,6428220 -Chi phí khấu hao tài sản quyền sử dụng,0,1
6428221,1,0,6428221 -Chi phí khấu hao tài sản quyền sử dụng - Tòa nhà,0,1
6428222,1,0,6428222 -Chi phí khấu hao tài sản quyền sử dụng - Xe cộ,0,1
6428230,0,0,6428230 -Chi phí phát triển thị trường nước ngoài,0,1
6428231,1,0,6428231 -Chi phí phát triển thị trường nước ngoài,0,1
6428232,1,0,6428232 -Chi phí phát triển thị trường nước ngoài (Chi phí đi lại),0,1
6428240,0,0,6428240 -Chi phí bồi thường cổ phiếu,0,1
6428241,1,0,6428241 -Chi phí bồi thường cổ phiếu,0,1
6428250,0,0,6428250 -Tiền thuê đã trả,0,1
6428251,1,0,6428251 -Tiền thuê đã trả - Tòa nhà,0,1
6428252,1,0,6428252 -Tiền thuê đã trả - Xe cộ,0,1
6428253,1,0,6428253 -Tiền thuê đã trả - Vật dụng,0,1
6428254,1,0,6428254 -Tiền thuê đã trả - Thông thường,0,1
6428255,1,0,6428255 -Tiền thuê đã trả - Đất đai,0,1
6428256,1,0,6428256 -Tiền thuê đã trả - Máy photocopy,0,1
6428260,0,0,6428260 -Chi phí sửa chữa,0,1
